Período;Anios;Quito;Quito;Quito;Guayaquil;Guayaquil;Guayaquil;Cuenca;Cuenca;Cuenca;Machala;Machala;Machala;Ambato;Ambato;Ambato
;;
Marzo;2008;10,45;3,32;1,76;22,06;6,38;2,87;11,68;3,74;1,88;20,76;6,43;2,82;21,2;6,38;3,11
Marzo;2009;11,16;3,71;1,97;24,28;7,5;3,26;10,91;3,31;1,51;20,76;6,32;2,94;17,55;5,81;2,99
Marzo;2010;13,01;4,34;2,31;20,8;5,82;2,37;13,78;3,8;1,6;15,54;4,2;1,77;11,63;3,47;1,47
Marzo;2011;10,33;3,34;1,81;19,21;4,99;1,99;12,39;4,13;2,2;14,76;4,07;1,62;10,58;2,68;1,02
Marzo;2012;8,97;3,29;1,59;11,04;2,75;1,04;9,72;2,92;1,33;9,51;1,91;0,62;8,04;1,97;0,76
Marzo;2013;10,85;3,48;1,56;12,77;3,58;1,6;9,17;2,47;1,01;11,98;2,48;0,76;10,54;3,71;2,01
Marzo;2014;8,92;2,78;1,39;11,69;3,07;1,2;4,67;1,65;0,87;13,71;3,84;1,54;12,81;3,15;1,31
Marzo;2015;7,87;2,59;1,3;7,69;1,84;0,68;5,32;1,24;0,49;15,09;4,2;1,81;8,42;2,9;1,24
Marzo;2016;7,98;2,63;1,34;8,67;2,52;0,97;7,83;2,55;1,17;13,77;3,88;1,76;7,77;2,49;1,23
Marzo;2017;7,35;2,4;1,23;10,98;2,67;1,11;7,85;2,89;1,54;16,76;4,51;1,98;9,74;3,06;1,64
